latitude,longitude,scientificname,occurrenceRemarks
-7.25,-78.38,Ephedra americana,Note
-16.7,-68,Ephedra americana,Note
-16.9,-67.9,Ephedra americana,Note
-16.5,-68.1,Ephedra americana,Note
-0.1,-78.4,Ephedra americana,Note
-13.35,-72.07,Ephedra americana,Note
-19,-65,Ephedra americana,Note
-35.5,-71.17,Ephedra americana,Note
-29.78,-71.32,Ephedra americana,Note
-35.5,-71.17,Ephedra americana,Note
-13.27,-72.07,Ephedra americana,Note
-0.02,-78.32,Ephedra americana,Note
-9.97,-77.22,Ephedra americana,Note
-11.67,-75.75,Ephedra americana,Note
-8.98,-77.63,Ephedra americana,Note
-6.77,-79.83,Ephedra americana,Note
-1.47,-78.87,Ephedra americana,Note
0.3,-78.37,Ephedra americana,Note
-3.42,-79.15,Ephedra americana,Note
-13.33,-71.92,Ephedra americana,Note
-13.35,-72.07,Ephedra americana,Note
-12.07,-75.23,Ephedra americana,Note
-6.05,-77.92,Ephedra americana,Note
-0.07,-78.37,Ephedra americana,Note
-9.08,-77.68,Ephedra americana,Note
-9.37,-77.42,Ephedra americana,Note
-9.12,-77.52,Ephedra americana,Note
-13.83,-72.42,Ephedra americana,Note
-7.55,-78.15,Ephedra americana,Note
-11.93,-75.93,Ephedra americana,Note
-6.77,-79.83,Ephedra americana,Note
-2.15,-78.87,Ephedra americana,Note
-16.53,-68.08,Ephedra americana,Note
-8.92,-77.6,Ephedra americana,Note
-18.33,-64.58,Ephedra americana,Note
-17.74,-65.18,Ephedra americana,Note
-16.53,-68.08,Ephedra americana,Note
-25.83,-65.57,Ephedra americana,Note
-23.57,-65.35,Ephedra americana,Note
-2.8,-79.3,Ephedra americana,Note
-12.42,-75.75,Ephedra americana,Note
-32.67,-64.92,Ephedra americana,Note
-6.57,-77.84,Ephedra americana,Note
-13.48,-71.93,Ephedra americana,Note
-21.9,-64.57,Ephedra americana,Note
-21.95,-65.08,Ephedra americana,Note
-16.9,-67.6,Ephedra americana,Note
-9.38,-77.42,Ephedra americana,Note
-16.67,-68.02,Ephedra americana,Note
-17.57,-65.67,Ephedra americana,Note
0.43,-78,Ephedra americana,Note
-17.29,-66.22,Ephedra americana,Note
-9.92,-76.23,Ephedra americana,Note
-9.87,-77.18,Ephedra americana,Note
-16.53,-68.08,Ephedra americana,Note
-16.65,-68.07,Ephedra americana,Note
-8.12,-78.3,Ephedra americana,Note
-13.5,-71.93,Ephedra americana,Note
-0.48,-78.17,Ephedra americana,Note
-13.35,-72.05,Ephedra americana,Note
-16.5,-68.08,Ephedra americana,Note
-22.83,-65.25,Ephedra americana,Note
-11.33,-75.62,Ephedra americana,Note
-11.33,-76.2,Ephedra americana,Note
-0.07,-78.35,Ephedra americana,Note
-9,-77.68,Ephedra americana,Note
0.43,-77.98,Ephedra americana,Note
0.62,-78.13,Ephedra americana,Note
0.05,-78.17,Ephedra americana,Note
-2.79,-79.21,Ephedra americana,Note
-21.12,-64.92,Ephedra americana,Note
-13.42,-71.67,Ephedra americana,Note
-30.33,-69.67,Ephedra americana,Note
-1.58,-78.82,Ephedra americana,Note
-23.48,-65.35,Ephedra americana,Note
-9.92,-76.23,Ephedra americana,Note
-32.67,-64.92,Ephedra americana,Note
-16.5,-68.15,Ephedra americana,Note
-8.82,-77.95,Ephedra americana,Note
-11.45,-75.75,Ephedra americana,Note
-17.32,-66.14,Ephedra americana,Note
-8.83,-77.73,Ephedra americana,Note
-13.63,-71.74,Ephedra americana,Note
-7.25,-78.38,Ephedra americana,Note
-16.65,-68.07,Ephedra americana,Note
-13.33,-71.91,Ephedra americana,Note
-5.67,-79.35,Ephedra americana,Note
-2.15,-78.87,Ephedra americana,Note
-0.07,-78.35,Ephedra americana,Note
-3.42,-79.15,Ephedra americana,Note
0.43,-78,Ephedra americana,Note
-0.07,-78.37,Ephedra americana,Note
